Tweet_ID,Date,Ticker,Username,Text,Created_At,Retweets,Likes,sentiment
1609736400000,2021-01-04,AAPL,investor_615,Apple's earnings were amazing. $AAPL to the moon!,2021-01-04 23:21:17,43,251,positive
1609736400001,2021-01-04,AAPL,investor_109,The new MacBooks have serious issues. $AAPL quality declining. #technology,2021-01-04 17:56:48,43,270,negative
1609736400002,2021-01-04,AAPL,investor_730,iPhone sales declining in China. Not good for $AAPL.,2021-01-04 22:01:59,2,260,negative
1609736400003,2021-01-04,AAPL,investor_195,$AAPL trading at average multiple. Fair value currently. #finance,2021-01-04 23:07:59,83,276,neutral
1609736400004,2021-01-04,AAPL,investor_853,"Rebalanced my portfolio, keeping same $AAPL allocation.",2021-01-04 05:28:09,14,441,neutral
1609736400005,2021-01-04,AAPL,investor_888,New competitors in Apple's space. $AAPL holding steady though.,2021-01-04 20:30:40,31,383,neutral
1609736400006,2021-01-04,AAPL,investor_853,$AAPL hitting new highs! Best tech stock out there.,2021-01-04 10:59:47,9,246,positive
1609736400007,2021-01-04,AAPL,investor_123,Apple's innovation has stalled under Tim Cook. $AAPL is a sell.,2021-01-04 10:45:44,20,282,negative
1609736400008,2021-01-04,AAPL,investor_421,$AAPL trading sideways today. Market uncertainty. #finance,2021-01-04 13:34:51,62,293,neutral
1609736400009,2021-01-04,AAPL,investor_939,Interesting patent from Apple today. $AAPL worth watching. #stocks,2021-01-04 19:55:02,3,206,neutral
1609736400010,2021-01-04,AAPL,investor_143,Apple's innovation has stalled under Tim Cook. $AAPL is a sell.,2021-01-04 08:34:21,7,72,negative
1609736400011,2021-01-04,AAPL,investor_644,Selling my $AAPL position today. Tech sell-off coming.,2021-01-04 08:39:21,74,435,negative
1609736400012,2021-01-04,AAPL,investor_329,Tim Cook's leadership at Apple is outstanding. $AAPL is a winner.,2021-01-04 15:16:41,26,487,positive
1609736400013,2021-01-04,AAPL,investor_481,Apple AR headset will be a game changer. $AAPL breaking $200 soon. #finance,2021-01-04 06:24:29,54,336,positive
1609736400014,2021-01-04,AAPL,investor_894,Interesting patent from Apple today. $AAPL worth watching. #invest,2021-01-04 01:50:57,89,440,neutral
1609736400015,2021-01-04,AAPL,investor_256,Tim Cook sold some shares. Standard procedure for $AAPL execs. #stocks,2021-01-04 20:52:33,90,467,neutral
1609736400016,2021-01-04,AAPL,investor_778,Apple suppliers reporting mixed results. Neutral on $AAPL.,2021-01-04 19:08:44,29,333,neutral
1609736400017,2021-01-04,AAPL,investor_925,Apple's innovation has stalled under Tim Cook. $AAPL is a sell.,2021-01-04 04:03:07,45,247,negative
1609736400018,2021-01-04,AAPL,investor_689,iPhone market share dropping globally. $AAPL growth story ending.,2021-01-04 06:21:35,57,498,negative
